Frame,Left,Top,Right,Bottom,Object_class
307,83,-4,156,289,person
307,270,82,331,330,person
308,185,75,232,332,person
309,185,76,232,331,person
309,267,69,335,292,person
309,80,8,153,275,person
310,187,79,232,329,person
310,270,85,337,392,person
311,187,81,231,327,person
312,187,83,231,322,person
313,186,83,227,319,person
313,75,-14,147,367,person
313,272,66,326,297,person
314,186,71,228,331,person
314,270,78,328,336,person
315,185,81,225,320,person
316,184,89,225,311,person
317,182,96,223,306,person
318,181,93,223,311,person
319,179,95,223,312,person
320,178,102,221,300,person
321,178,99,222,304,person
322,179,104,224,295,person
323,179,95,225,303,person
323,74,2,148,409,person
324,181,90,227,310,person
324,74,8,147,402,person
325,180,90,228,312,person
325,63,3,137,281,person
326,178,88,230,313,person
326,62,3,139,280,person
327,178,85,230,319,person
328,178,80,231,327,person
328,263,85,334,335,person
328,62,0,137,285,person
329,180,86,230,314,person
329,63,2,137,284,person
330,181,94,230,308,person
331,180,92,229,314,person
331,65,1,138,291,person
332,63,-1,141,290,person
333,63,2,141,287,person
334,77,-28,146,379,person
335,76,-23,144,377,person
336,74,-23,142,375,person
337,76,-31,145,382,person
338,75,-31,143,382,person
339,76,-45,145,394,person
340,77,-36,142,381,person
341,77,-31,143,380,person
342,76,-33,145,380,person
343,73,-26,143,375,person
344,72,-24,144,374,person
345,68,-25,144,376,person
346,68,-32,143,382,person
347,66,-28,147,379,person
347,45,26,128,453,person
348,45,26,124,456,person
349,47,19,123,459,person
352,259,52,356,426,person
352,46,-7,127,300,person
352,181,92,234,312,person
353,47,-5,125,293,person
353,181,91,235,315,person
354,45,-14,127,303,person
354,174,66,238,282,person
355,39,-21,129,309,person
355,175,60,237,293,person
356,33,-17,126,308,person
356,179,60,237,294,person
357,32,-33,129,314,person
357,178,62,237,294,person
357,266,38,346,438,person
358,30,-42,128,323,person
358,267,35,343,438,person
358,179,58,240,301,person
359,29,-46,127,327,person
359,179,58,242,302,person
360,182,74,242,331,person
360,25,-45,127,325,person
361,23,-47,126,329,person
361,184,76,239,329,person
362,22,-45,128,327,person
362,185,62,238,298,person
363,24,-38,126,322,person
364,24,-37,125,322,person
365,25,-33,124,320,person
365,260,48,349,426,person
366,26,-36,124,324,person
366,261,47,348,428,person
366,277,69,332,349,person
367,28,-38,122,325,person
367,256,50,352,429,person
368,27,-40,122,324,person
368,17,0,95,471,person
368,193,54,237,360,person
368,212,83,261,389,person
369,26,-40,122,322,person
